N_MRE,N_PRED40,MRE,ACC,PRED40,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
0,1,0,0,100,40,squared_error,3,2.75,10
0,1,0,0,100,190,squared_error,18,4.25,6
0,1,0,0,100,130,squared_error,1,0.75,15
0,1,0,0,100,170,squared_error,17,4.25,13
0,1,0,0,100,180,absolute_error,17,6.75,14
0,1,0,0,100,200,squared_error,19,4.25,1
0,1,0,0,100,130,squared_error,3,2.5,17
1,0,100,0,0,30,poisson,6,9.25,10
0,1,0,0,100,190,absolute_error,8,8.25,2
0,1,0,0,100,90,squared_error,8,5.5,4
0,1,0,0,100,80,squared_error,13,6,17
1,0,100,0,0,10,poisson,1,5.5,9
0,1,0,0,100,190,squared_error,9,3.5,5
0,1,0,0,100,40,squared_error,1,0.25,19
1,0,100,0,0,120,poisson,5,6.5,10
1,0,100,0,0,150,poisson,2,6.25,9
1,0,100,0,0,180,poisson,19,0.5,6
0,1,0,0,100,190,squared_error,10,3.75,2
0,1,0,0,100,160,squared_error,1,4.5,8
1,0,100,0,0,180,poisson,10,1.25,10
0,1,0,0,100,40,absolute_error,5,9.5,16
1,0,100,0,0,190,poisson,1,2.75,14
0,1,0,0,100,200,squared_error,9,5,5
1,0,100,0,0,140,poisson,5,6,3
0,1,0,0,100,60,squared_error,20,6,3
1,0,100,0,0,100,poisson,6,3.5,2
0,1,0,0,100,110,absolute_error,12,3.5,11
0,1,0,0,100,60,squared_error,17,1.5,18
0,1,0,0,100,120,absolute_error,2,2.5,11
0,1,0,0,100,170,absolute_error,13,8,18
0,1,0,0,100,30,squared_error,11,6.75,1
0,1,0,0,100,10,squared_error,1,6.75,5
0,1,0,0,100,150,squared_error,12,1.5,1
0,1,0,0,100,20,squared_error,16,2.25,3
0,1,0,0,100,50,squared_error,4,4.5,7
0,1,0,0,100,150,squared_error,14,5.5,18
0,1,0,0,100,120,squared_error,1,4.75,3
0,1,0,0,100,140,absolute_error,8,6.25,14
0,1,0,0,100,80,squared_error,16,9.25,20
0,1,0,0,100,160,absolute_error,1,7,9
0,1,0,0,100,50,absolute_error,9,2,5
0,1,0,0,100,110,absolute_error,4,2.5,18
1,0,100,0,0,70,poisson,16,4.5,14
1,0,100,0,0,180,poisson,12,1.25,11
0,1,0,0,100,10,absolute_error,5,8.5,19
0,1,0,0,100,30,squared_error,20,3.75,19
0,1,0,0,100,100,squared_error,6,3.75,1
0,1,0,0,100,100,absolute_error,13,3.25,13
1,0,100,0,0,100,poisson,16,4.75,11
0,1,0,0,100,20,squared_error,16,7,10
1,0,100,0,0,180,poisson,18,8.75,3
1,0,100,0,0,120,poisson,18,2.75,2
1,0,100,0,0,170,poisson,14,10,2
0,1,0,0,100,60,absolute_error,17,9,5
1,0,100,0,0,10,poisson,11,3.75,2
0,1,0,0,100,140,absolute_error,17,1.75,13
0,1,0,0,100,70,absolute_error,18,4,7
1,0,100,0,0,90,poisson,10,2,7
0,1,0,0,100,120,squared_error,3,2,1
0,1,0,0,100,140,squared_error,15,0.25,15
1,0,100,0,0,170,poisson,18,3,1
0,1,0,0,100,200,absolute_error,18,0.5,15
1,0,100,0,0,190,poisson,4,6.5,17
0,1,0,0,100,100,squared_error,18,7.5,19
1,0,100,0,0,40,poisson,12,3,13
0,1,0,0,100,90,absolute_error,12,5,15
0,1,0,0,100,10,absolute_error,11,5.25,7
0,1,0,0,100,70,absolute_error,7,5.25,2
0,1,0,0,100,30,squared_error,4,6.75,7
0,1,0,0,100,30,squared_error,3,5.25,5
1,0,100,0,0,90,poisson,16,8,10
0,1,0,0,100,150,absolute_error,7,4.25,12
0,1,0,0,100,140,absolute_error,18,4.75,14
0,1,0,0,100,160,squared_error,5,8,5
0,1,0,0,100,40,squared_error,19,3.5,15
0,1,0,0,100,120,absolute_error,4,7.25,3
1,0,100,0,0,100,poisson,20,3,6
0,1,0,0,100,130,absolute_error,17,8,14
0,1,0,0,100,160,absolute_error,4,2.5,5
0,1,0,0,100,160,squared_error,13,2.75,15
1,0,100,0,0,100,poisson,3,4.5,11
0,1,0,0,100,200,squared_error,12,0.75,16
0,1,0,0,100,180,squared_error,13,1,12
0,1,0,0,100,30,squared_error,9,9.75,6
1,0,100,0,0,40,poisson,6,2.5,16
0,1,0,0,100,140,squared_error,6,7,3
1,0,100,0,0,60,poisson,2,6,12
0,1,0,0,100,80,absolute_error,3,8.5,12
0,1,0,0,100,160,squared_error,18,5.75,10
0,1,0,0,100,120,absolute_error,19,2.5,17
0,1,0,0,100,180,absolute_error,10,1.5,9
0,1,0,0,100,140,squared_error,6,1.25,5
0,1,0,0,100,150,squared_error,13,6.25,5
0,1,0,0,100,110,absolute_error,12,4.75,17
0,1,0,0,100,130,absolute_error,9,9.75,8
1,0,100,0,0,190,poisson,11,7.25,4
0,1,0,0,100,40,absolute_error,7,6.25,2
0,1,0,0,100,30,absolute_error,20,4.5,20
0,1,0,0,100,30,absolute_error,13,9.5,13
1,0,100,0,0,80,poisson,20,6.25,5
0,1,0,0,100,110,absolute_error,10,4.5,15
1,0,100,0,0,20,poisson,13,0,2
0,1,0,0,100,40,squared_error,5,4.75,19
0,1,0,0,100,20,absolute_error,5,3,9
0,1,0,0,100,100,squared_error,16,7.25,6
0,1,0,0,100,80,squared_error,2,4.5,15
0,1,0,0,100,10,squared_error,14,1.25,18
0,1,0,0,100,50,squared_error,1,2,14
0,1,0,0,100,60,squared_error,16,0,20
1,0,100,0,0,150,poisson,20,1.75,5
0,1,0,0,100,110,squared_error,9,1.5,4
0,1,0,0,100,20,squared_error,9,8.25,18
0,1,0,0,100,10,absolute_error,5,7.5,18
0,1,0,0,100,170,squared_error,20,9.25,13
0,1,0,0,100,110,absolute_error,11,5.25,20
1,0,100,0,0,130,poisson,15,9.25,11
1,0,100,0,0,50,poisson,2,9.75,5
0,1,0,0,100,10,squared_error,10,6.75,2
0,1,0,0,100,30,squared_error,3,1.25,8
0,1,0,0,100,170,squared_error,13,0,7
1,0,100,0,0,170,poisson,8,3.5,15
1,0,100,0,0,150,poisson,12,7.75,9
0,1,0,0,100,150,absolute_error,4,1.25,2
0,1,0,0,100,90,absolute_error,18,5.5,5
1,0,100,0,0,140,poisson,2,8.75,17
0,1,0,0,100,50,absolute_error,15,0,11
1,0,100,0,0,110,poisson,2,8.75,18
1,0,100,0,0,160,poisson,12,8.5,3
0,1,0,0,100,80,squared_error,4,2.5,13
0,1,0,0,100,120,absolute_error,12,7.5,13
1,0,100,0,0,130,poisson,15,9,15
0,1,0,0,100,30,absolute_error,10,4.75,8
1,0,100,0,0,90,poisson,10,7.75,15
0,1,0,0,100,130,squared_error,4,6,16
1,0,100,0,0,70,poisson,12,4.5,15
0,1,0,0,100,20,squared_error,13,3.75,10
0,1,0,0,100,30,squared_error,4,2.5,14
0,1,0,0,100,110,squared_error,6,1.25,11
0,1,0,0,100,170,squared_error,1,3.5,13
